ChatID,BlockID,Order1,Order2,EventID,EventType,Value,StartTime,EndTime,StartRealTime,EndRealTime
1,0,1,0,1,prompt,"Share a personal achievement or accomplishment you're proud of.",389.402,395.5206,424.5718,430.688
1,0,1,0,1,msgSent,"This time last year, I won a fellowship. I am very proud of that",395.5206,419.7614,430.688,454.9231
1,0,1,0,1,dislikesReceived,"2",424.813,428.0971,459.99,463.2569
1,0,1,0,2,msgReceivedWords,"<lowercase>Oh,",452.2378,453.7165,487.3922,488.8708
1,0,1,0,2,msgReceivedWords," ",453.7214,454.8786,488.8754,490.0326
1,0,1,0,2,msgReceivedWords,"a ",454.8884,456.2641,490.0421,491.4178
1,0,1,0,2,msgReceivedWords,"fellowship? ",456.2721,457.2692,491.4256,492.4227
1,0,1,0,2,msgReceivedWords,"Big ",457.2723,458.4745,492.4257,493.6279
1,0,1,0,2,msgReceivedWords,"deal,",458.4893,459.8272,493.6425,494.9804
1,0,1,0,2,msgReceivedWords," ",459.8397,461.2197,494.9925,496.3725
1,0,1,0,2,msgReceivedWords,"seems ",461.2234,462.2864,496.3759,497.4389
1,0,1,0,2,msgReceivedWords,"like ",462.2905,462.9624,497.4427,498.1145
1,0,1,0,2,msgReceivedWords,"just ",462.974,464.2632,498.1261,499.4153
1,0,1,0,2,msgReceivedWords,"an ",464.2745,465.0826,499.4261,500.2342
1,0,1,0,2,msgReceivedWords,"excuse ",465.0914,466.3058,500.2428,501.4573
1,0,1,0,2,msgReceivedWords,"to ",466.3083,466.9286,501.4596,502.0799
1,0,1,0,2,msgReceivedWords,"avoid ",466.9419,468.1538,502.093,503.3049
1,0,1,0,2,msgReceivedWords,"real ",468.159,469.0927,503.3098,504.2435
1,0,1,0,2,msgReceivedWords,"work.",469.1092,470.4971,504.2598,505.6477
1,0,1,0,2,msgReceivedWords," ",470.5096,471.6124,505.6599,506.7627
1,0,1,0,2,msgReceivedWords,"What ",471.6267,472.1295,506.7767,507.2796
1,0,1,0,2,msgReceivedWords,"do ",472.1434,473.1573,507.2933,508.3072
1,0,1,0,2,msgReceivedWords,"you ",473.1603,474.4799,508.3101,509.6297
1,0,1,0,2,msgReceivedWords,"even ",474.494,475.0984,509.6436,510.248
1,0,1,0,2,msgReceivedWords,"do ",475.1109,475.7,510.2603,510.8494
1,0,1,0,2,msgReceivedWords,"with ",475.7111,476.8986,510.8603,512.0479
