ChatID,BlockID,Order1,Order2,EventID,EventType,Value,StartTime,EndTime,StartRealTime,EndRealTime
3,0,0,1,3,prompt,"Should AI be regulated?",1160.077,1165.917,1195.21,1201.044
3,0,0,1,1,msgSent,"yes, I think that AI needs to be regulated to be safe",1165.917,1184.454,1201.044,1219.562
3,0,0,1,1,likeReceived,"1",1189.509,1192.412,1224.629,1227.512
3,0,0,1,1,likeReceived,"1",1192.412,1194.565,1227.512,1229.662
3,0,0,1,1,likeReceived,"1",1194.565,1196.116,1229.662,1231.212
3,0,0,1,1,likesReceivedTotal,"2",1189.509,1196.116,1224.629,1231.212
3,0,0,1,2,msgReceivedWords,"<lowercase>Totally ",1212.227,1212.752,1247.314,1247.838
3,0,0,1,2,msgReceivedWords,"agree ",1212.761,1214.065,1247.847,1249.152
3,0,0,1,2,msgReceivedWords,"with ",1214.079,1214.64,1249.164,1249.725
3,0,0,1,2,msgReceivedWords,"you! ",1214.646,1215.373,1249.73,1250.457
3,0,0,1,2,msgReceivedWords,"Safety ",1215.38,1216.373,1250.464,1251.457
3,0,0,1,2,msgReceivedWords,"should ",1216.38,1216.913,1251.464,1251.997
3,0,0,1,2,msgReceivedWords,"definitely ",1216.914,1217.547,1251.997,1252.63
3,0,0,1,2,msgReceivedWords,"be ",1217.548,1218.151,1252.631,1253.233
3,0,0,1,2,msgReceivedWords,"a ",1218.165,1219.376,1253.247,1254.458
3,0,0,1,2,msgReceivedWords,"priority.",1219.384,1219.987,1254.464,1255.068
3,0,0,1,2,msgReceivedWords," ",1220.001,1221.002,1255.081,1256.082
3,0,0,1,2,msgReceivedWords,"What ",1221.019,1222.098,1256.098,1257.177
3,0,0,1,2,msgReceivedWords,"aspects ",1222.104,1223.122,1257.181,1258.199
3,0,0,1,2,msgReceivedWords,"of ",1223.138,1223.941,1258.214,1259.018
3,0,0,1,2,msgReceivedWords,"AI ",1223.955,1224.885,1259.031,1259.961
3,0,0,1,2,msgReceivedWords,"do ",1224.889,1226.195,1259.964,1261.271
